Unitid,Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Sisascp,Sisastp,Sisinst,Sislect,Sisnork,Sisprof,Sistotl
103361,7848,18848,15648,7848,18848,15648,7848,18848,15648,1,2,4,1,0,3,1,11
103644,19560,27174,0,19560,27174,0,19560,27174,0,1,0,0,0,0,20,0,20
103787,17140,27140,23342,17140,27140,23342,17140,27140,23342,1,0,0,0,0,5,0,5
103893,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,15
103909,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,12
103927,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,8
103945,23563,30379,0,23563,30379,0,23563,30379,0,1,6,0,0,0,2,1,9
104151,15287,24075,23837,15287,24075,23837,29080,37868,37630,1,463,319,158,248,12,598,1798
104160,12260,17758,15827,12260,17758,15827,17735,23233,21302,1,0,0,0,0,116,0,116
104179,16335,30531,25179,16335,30531,25179,33327,47523,42171,1,482,365,60,125,6,752,1790
104188,43245,58973,0,43245,58973,0,43245,58973,0,1,0,0,13,0,0,0,13
104346,6395,12001,12001,6395,12001,12001,14345,19951,19951,1,0,0,0,0,92,0,92
104364,21987,25483,0,21987,25483,0,21987,25483,0,1,0,0,5,0,0,0,5
104425,6178,14223,10549,6178,14223,10549,10426,18471,14797,1,0,0,0,0,83,0,83
104577,6630,12320,12345,6630,12320,12345,13230,18920,18945,1,0,0,93,0,0,0,93
104586,36764,46314,46314,36764,46314,46314,36764,46314,46314,1,30,37,2,0,0,11,80
104708,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,290,0,290
104717,25300,32100,32100,25300,32100,32100,25300,32100,32100,1,16,67,3,0,195,9,290
104805,18275,36115,0,18275,36115,0,18275,36115,0,1,0,0,0,0,40,0,40
105145,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,102,0,102
105154,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,335,0,335
105163,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,3,0,0,0,3
105172,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,4,0,0,0,4
105206,7257,14910,0,7257,14910,0,12873,20526,0,1,0,0,80,0,0,0,80
105297,10715,14075,12175,10715,14075,12175,10715,14075,12175,1,0,0,60,0,0,0,60
105330,13892,22502,22746,13892,22502,22746,26247,34857,35101,1,211,177,87,214,0,269,958
105349,8506,16582,0,8506,16582,0,14290,22366,0,1,0,0,0,0,75,0,75
105428,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,160,0,160
105516,18150,24380,0,18150,24380,0,18150,24380,0,1,0,0,0,0,29,0,29
105525,5724,11424,0,5724,11424,0,12048,17748,0,1,0,0,0,0,363,0,363
105589,33696,39096,41336,33696,39096,41336,33696,39096,41336,1,0,0,5,0,0,54,59
105668,7534,12622,0,7534,12622,0,13318,18406,0,1,0,0,0,0,20,0,20
105747,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,169,0,169
105792,9780,15504,0,9780,15504,0,15564,21288,0,1,0,0,0,0,57,0,57
105899,26407,36382,35382,26407,36382,35382,26407,36382,35382,1,8,2,5,0,0,1,16
106102,9800,14784,0,9800,14784,0,9800,14784,0,1,0,0,0,0,6,0,6
106148,5672,13172,13732,5672,13172,13732,11720,19220,19780,1,0,0,113,0,0,0,113
106245,14190,24135,23191,14190,24135,23191,23967,33912,32968,1,126,111,86,0,0,148,471
106306,17965,20915,21005,17965,20915,21005,17965,20915,21005,1,1,1,32,0,0,1,35
106342,26594,34154,34154,26594,34154,34154,26594,34154,34154,1,17,15,0,0,0,9,41
106397,13170,22212,22212,13170,22212,22212,24426,33468,33468,1,222,205,221,83,6,357,1094
106412,10152,14912,16882,10152,14912,16882,15852,20612,22582,1,41,36,53,0,0,29,159
106449,8586,16314,12110,8586,16314,12110,10436,18164,13960,1,11,29,82,0,0,1,123
106458,12494,30107,20014,12494,30107,20014,18104,35717,25624,1,132,162,106,0,0,105,505
106467,10226,22008,16086,10226,22008,16086,15002,26784,20862,1,90,99,32,0,66,62,349
106485,11943,18693,16427,11943,18693,16427,17740,24490,22224,1,52,20,67,0,0,18,157
106625,8718,13624,0,8718,13624,0,11406,16312,0,1,0,0,0,0,74,0,74
106704,13046,20084,18596,13046,20084,18596,18791,25829,24341,1,126,138,73,60,53,83,533
106713,17208,22278,23224,17208,22278,23224,17208,22278,23224,1,6,13,2,0,0,8,29
106795,8225,15420,0,8525,15720,0,11075,18270,0,1,0,0,37,0,0,0,37
106810,14710,20810,19810,14710,20810,19810,14710,20810,19810,1,3,4,4,0,0,0,11
106883,6420,11320,0,6690,11590,0,7170,12070,0,1,0,0,0,0,31,0,31
106980,6974,17400,0,7274,17700,0,8444,18870,0,1,0,0,101,0,0,0,101
106999,8116,7541,0,8404,7829,0,9892,9317,0,1,0,0,0,0,41,0,41
107044,20270,26634,26634,20270,26634,26634,20270,26634,26634,1,68,115,21,5,0,80,289
107071,13656,20812,18934,13656,20812,18934,19776,26932,25054,1,28,48,25,11,0,61,173
107080,41916,49830,52536,41916,49830,52536,41916,49830,52536,1,31,36,6,0,1,42,116
107141,26384,29014,34776,26384,29014,34776,26384,29014,34776,1,21,33,1,0,0,27,82
107318,8458,17787,0,8938,18267,0,13498,22827,0,1,0,0,44,0,0,0,44
107327,9732,21701,0,10012,21981,0,11412,23381,0,1,0,0,0,0,62,0,62
107460,7539,15694,0,8115,16270,0,9819,17974,0,1,0,0,65,0,0,0,65
107512,26270,32870,32610,26270,32870,32610,26270,32870,32610,1,20,35,4,0,2,39,100
107521,6671,16257,0,6671,16257,0,9221,18807,0,1,0,0,36,0,0,0,36
107549,7814,15369,0,7814,15369,0,10166,17721,0,1,0,0,42,0,0,0,42
107558,29481,38715,36379,29481,38715,36379,29481,38715,36379,1,9,17,1,0,3,17,47
107585,7635,13349,0,7782,13496,0,8559,14273,0,1,0,0,0,0,64,0,64
107600,18010,28340,24986,18010,28340,24986,18010,28340,24986,1,6,27,10,0,0,5,48
107619,8725,13225,0,9085,13585,0,10405,14905,0,1,0,0,70,0,0,0,70
107637,7480,11980,0,7480,11980,0,9940,14440,0,1,0,0,43,0,0,0,43
107664,12280,19271,0,12280,19271,0,14020,21011,0,1,0,0,0,0,176,0,176
107725,9338,18025,0,9488,18175,0,11453,20140,0,1,0,0,0,0,40,0,40
107743,8817,16522,0,9153,16858,0,11673,19378,0,1,0,0,21,0,0,0,21
107840,6811,18205,0,6811,18205,0,6811,18205,0,1,0,0,6,0,0,0,6
107877,18174,24142,23886,18174,24142,23886,18174,24142,23886,1,6,10,4,0,0,9,29
107974,10873,27133,0,11161,27421,0,12937,29197,0,1,3,10,22,0,0,18,53
107983,14274,21424,19438,14274,21424,19438,17424,24574,22588,1,43,52,40,0,2,23,160
107992,11227,20959,18019,11227,20959,18019,12667,22399,19459,1,0,0,0,0,35,0,35
108092,9116,17628,16498,9116,17628,16498,14660,23172,22042,1,56,104,44,1,15,19,239
108232,25226,36386,37828,25226,36386,37828,25226,36386,37828,1,0,0,0,0,274,0,274
108250,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,10,0,0,0,10
108667,7273,18433,0,7273,18433,0,12385,23545,0,1,0,0,64,0,0,0,64
108807,7331,19154,0,7331,19154,0,12651,24474,0,1,0,0,145,0,0,0,145
108852,37520,52460,0,37520,52460,0,37520,52460,0,1,0,0,0,0,8,0,8
109208,7080,17682,0,7080,17682,0,13176,23778,0,1,0,0,388,0,0,0,388
109350,7421,16648,0,7421,16648,0,11981,21208,0,1,26,7,81,0,0,69,183
109651,46972,60502,0,46972,60502,0,46972,60502,0,1,20,8,48,0,0,24,100
109785,38242,49404,45996,38242,49404,45996,38242,49404,45996,1,117,158,12,0,0,146,433
109819,6228,15404,0,6228,15404,0,11912,21088,0,1,0,0,249,0,0,0,249
109907,6682,17805,0,6682,17805,0,10978,22101,0,1,0,0,37,0,0,0,37
110097,38127,49287,46624,38127,49287,46624,38127,49287,46624,1,122,54,5,0,1,72,254
110185,25976,33592,0,25976,33592,0,25976,33592,0,1,0,0,0,0,32,0,32
110219,16690,23466,0,16690,23466,0,16690,23466,0,1,0,0,30,0,0,0,30
110246,6838,17800,0,6838,17800,0,11638,22600,0,1,0,0,179,0,0,0,179
110334,7793,19295,0,7793,19295,0,12133,23635,0,1,0,0,207,0,0,0,207
110361,34106,45264,42228,34106,45264,42228,34106,45264,42228,1,65,104,0,24,0,61,254
110370,46234,55444,56134,46234,55444,56134,46234,55444,56134,1,45,22,5,0,0,19,91
110404,47136,58296,58755,47136,58296,58755,47136,58296,58755,1,1,44,15,13,10,234,317
110413,41755,52915,52577,41755,52915,52577,41755,52915,52577,1,34,50,7,22,0,54,167
110422,13122,24285,24285,13122,24285,24285,24282,35445,35445,1,193,129,0,152,1,276,751
110468,22705,34117,29986,22705,34117,29986,22705,34117,29986,1,63,52,1,4,5,55,180
110486,11397,22737,21186,11397,22737,21186,22557,33897,32346,1,63,31,0,83,0,75,252
110495,10883,22083,22433,10883,22083,22433,22043,33243,33593,1,57,43,0,54,0,123,277
110510,10537,21466,20377,10537,21466,20377,21697,32626,31537,1,78,65,0,74,0,219,436
110529,10289,21104,22571,10289,21104,22571,21449,32264,33731,1,97,96,0,75,0,249,517
110538,11154,22116,22362,11154,22116,22362,22314,33276,33522,1,105,66,0,78,2,229,480
110547,10536,22931,21286,10536,22931,21286,21696,34091,32446,1,73,41,0,88,0,88,290
110556,10515,21926,20682,10515,21926,20682,21675,33086,31842,1,154,125,0,157,3,218,657
110565,10809,23517,23505,10809,23517,23505,21969,34677,34665,1,235,180,0,186,0,292,893
110574,10702,22969,22312,10702,22969,22312,21862,34129,33472,1,98,63,0,36,0,114,311
110583,10860,22686,22106,10860,22686,22106,22020,33846,33266,1,204,147,0,211,2,390,954
110592,10961,23678,21705,10961,23678,21705,22121,34838,32865,1,116,77,0,95,1,274,563
110608,11145,23863,21669,11145,23863,21669,22305,35023,32829,1,180,186,0,151,6,373,896
110617,11120,23168,23209,11120,23168,23209,22280,34328,34369,1,157,86,0,98,3,323,667
110635,24091,28859,33319,24091,28859,33319,46969,51737,56197,1,321,240,8,174,11,895,1649
110644,25266,28427,33066,25266,28427,33066,48144,51305,55944,1,428,424,0,130,2,1112,2096
110653,24078,29548,30504,24078,29548,30504,46956,52426,53382,1,332,314,40,133,0,747,1566
110662,23750,29299,32416,23750,29299,32416,46628,52177,55294,1,554,677,220,160,19,1474,3104
110671,23793,28395,32238,23793,28395,32238,46671,51273,55116,1,158,178,0,72,1,312,721
110680,24197,29475,30470,24197,29475,30470,47075,52353,53348,1,435,431,0,130,4,1016,2016
110705,25591,30398,34051,25591,30398,34051,48469,53276,56929,1,170,84,0,131,0,514,899
110714,24661,29891,33153,24661,29891,33153,47539,52769,56031,1,120,85,0,38,8,302,553
110945,24832,31648,0,24832,31648,0,24832,31648,0,1,0,0,14,0,0,0,14
111009,17209,23873,0,17209,23873,0,17209,23873,0,1,0,0,0,0,12,0,12
111081,49321,59860,58296,49321,59860,58296,49321,59860,58296,1,0,0,0,0,151,0,151
111188,0,0,21102,0,0,21102,0,0,32262,1,8,20,0,12,0,19,59
111434,7257,18102,0,7257,18102,0,14333,25178,0,1,0,0,75,0,0,0,75
111461,7139,18299,0,7139,18299,0,11435,22595,0,1,17,17,0,0,3,144,181
111638,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,22
111887,7332,18492,0,7332,18492,0,13100,24260,0,1,0,0,270,0,0,0,270
111896,6194,15370,0,6194,15370,0,11878,21054,0,1,0,0,58,0,0,0,58
111920,7245,18283,0,7245,18283,0,13077,24115,0,1,0,0,184,0,0,0,184
111939,7139,18301,0,7139,18301,0,12131,23293,0,1,0,0,206,0,0,0,206
111948,49113,59413,59459,49113,59413,59459,49113,59413,59459,1,120,122,32,2,0,116,392
111966,18181,29500,0,18181,29500,0,18181,29500,0,1,13,21,17,0,0,5,56
112075,35610,46750,43550,35610,46750,43550,35610,46750,43550,1,12,26,21,0,0,29,88
112084,32074,43234,40252,32074,43234,40252,32074,43234,40252,1,4,11,1,0,0,3,19
112172,7114,14395,0,7114,14395,0,11026,18307,0,1,0,0,160,0,0,0,160
112190,7259,18275,0,7259,18275,0,12733,23749,0,1,0,0,665,0,0,0,665
112260,0,0,62010,0,0,62010,0,0,62010,1,44,54,3,1,0,58,160
112385,7973,21160,0,7973,21160,0,12125,25312,0,1,0,0,42,0,0,0,42
112394,22145,33305,31860,22145,33305,31860,22145,33305,31860,1,4,7,1,1,0,6,19
112446,23296,30649,0,23296,30649,0,23296,30649,0,1,0,0,0,0,26,0,26
112561,7208,18224,0,7208,18224,0,12104,23120,0,1,0,0,47,0,0,0,47
112570,23462,34424,34424,23462,34424,34424,23462,34424,34424,1,0,0,0,0,0,1,1
112686,5552,17108,0,5552,17108,0,9632,21188,0,1,11,12,23,1,0,43,90
112826,12027,19006,0,12027,19006,0,17767,24746,0,1,0,0,88,0,0,0,88
113096,7080,17682,0,7080,17682,0,13176,23778,0,1,0,0,178,0,0,0,178
113111,5568,21324,0,5568,21324,0,8352,24108,0,1,6,6,0,0,37,45,94
113193,7215,18375,0,7215,18375,0,12389,23549,0,1,0,0,153,0,0,0,153
113218,6086,16986,0,6086,16986,0,11596,22496,0,1,0,0,83,0,0,0,83
113236,7036,17836,0,7036,17836,0,12052,22852,0,1,0,0,197,0,0,0,197
113333,7671,19146,0,7671,19146,0,14151,25626,0,1,0,0,274,0,0,0,274
113573,7193,18461,0,7193,18461,0,12513,23781,0,1,32,14,2,0,25,30,103
113634,12027,19006,0,12027,19006,0,17767,24746,0,1,0,0,254,0,0,0,254
113698,46586,51104,58860,46586,51104,58860,46586,51104,58860,1,22,47,0,0,0,29,98
113856,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,279,0,0,0,279
113980,5552,17108,0,5552,17108,0,9632,21188,0,1,0,0,329,0,0,0,329
114266,12216,18876,0,12216,18876,0,17900,24560,0,1,0,0,119,0,0,0,119
114354,35429,49991,0,35429,49991,0,35429,49991,0,1,0,0,67,0,0,0,67
114390,35429,49991,0,35429,49991,0,35429,49991,0,1,0,0,9,0,0,0,9
114415,35429,49991,0,35429,49991,0,35429,49991,0,1,0,0,5,0,0,0,5
114433,6333,15383,15383,6333,15383,15383,11883,20933,20933,1,0,0,37,0,1,0,38
114716,7664,19139,0,7664,19139,0,14144,25619,0,1,0,0,186,0,0,0,186
114789,6938,16758,0,6938,16758,0,12578,22398,0,1,0,0,340,0,0,0,340
114813,31701,42861,36991,31701,42861,36991,31701,42861,36991,1,35,47,6,0,0,12,100
114859,7486,18975,0,7486,18975,0,12358,23847,0,1,0,0,287,0,0,0,287
114938,7230,18390,0,7231,18391,0,12639,23799,0,1,0,0,77,0,0,0,77
115001,5981,16641,0,5981,16641,0,10469,21129,0,1,0,0,239,0,0,0,239
115083,21130,34130,0,21130,34130,0,21130,34130,0,1,17,9,6,0,7,43,82
115126,8013,21200,0,8013,21200,0,12045,25232,0,1,0,0,127,0,0,0,127
115296,6087,16987,0,6087,16987,0,11597,22497,0,1,0,0,200,0,0,0,200
115393,7280,18125,0,7280,18125,0,12644,23489,0,1,0,0,98,0,6,0,104
115409,0,0,63860,0,0,63860,0,0,63860,1,23,23,0,0,1,48,95
115454,19454,30774,0,19454,30774,0,19454,30774,0,1,0,0,0,0,29,0,29
115472,19454,30774,0,19454,30774,0,19454,30774,0,1,0,0,0,0,36,0,36
115490,19454,30774,0,19454,30774,0,19454,30774,0,1,0,0,0,0,24,0,24
115515,19454,30774,0,19454,30774,0,19454,30774,0,1,0,0,0,0,20,0,20
115533,19454,30774,0,19454,30774,0,19454,30774,0,1,0,0,0,0,35,0,35
115728,39005,50165,49041,39005,50165,49041,39005,50165,49041,1,14,20,8,0,0,8,50
115755,11116,22556,22556,11116,22556,22556,22276,33716,33716,1,57,45,0,59,0,120,281
115773,17339,28190,0,17339,28190,0,17339,28190,0,1,5,9,4,0,4,3,25
115861,7311,18471,0,7311,18471,0,12911,24071,0,1,0,0,156,0,0,0,156
116439,7629,19185,0,7629,19185,0,13791,25347,0,1,0,0,124,0,0,0,124
116466,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,8,0,0,0,8
116475,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,5,0,0,0,5
116484,22431,29926,0,22431,29926,0,22431,29926,0,1,0,0,7,0,0,0,7
116846,0,0,46869,0,0,46869,0,0,46869,1,1,3,2,1,0,8,15
117052,6958,16778,11986,6958,16778,11986,12598,22418,17626,1,0,0,196,0,0,0,196
117104,18585,29745,24285,18585,29745,24285,18585,29745,24285,1,3,2,0,0,0,4,9
117113,29251,35893,36211,29251,35893,36211,29251,35893,36211,1,0,0,33,0,0,0,33
117140,41085,52245,51997,41085,52245,51997,41085,52245,51997,1,48,68,9,0,0,103,228
117168,32342,45538,43238,32342,45538,43238,32342,45538,43238,1,6,4,0,0,0,5,15
117195,6954,18222,0,6954,18222,0,12375,23643,0,1,0,0,40,0,0,0,40
117247,7273,18433,0,7273,18433,0,12385,23545,0,1,0,0,133,0,0,0,133
117274,7069,18031,12961,7069,18031,12961,11845,22807,17737,1,0,0,35,0,0,0,35
117627,37299,46620,41490,37299,46620,41490,37299,46620,41490,1,36,30,0,3,0,33,102
117645,7323,18267,0,7323,18267,0,12843,23787,0,1,0,0,281,0,0,0,281
117690,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,104,0,0,0,104
117706,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,189,0,0,0,189
117715,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,77,0,0,0,77
117724,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,183,0,0,0,183
117733,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,180,0,0,0,180
117751,33606,44622,42147,33606,44622,42147,33606,44622,42147,1,14,8,4,0,0,29,55
117788,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,212,0,0,0,212
117867,7206,18366,0,7206,18366,0,12146,23306,0,1,0,0,91,0,0,0,91
117894,12027,19006,0,12027,19006,0,17767,24746,0,1,0,0,125,0,0,0,125
117928,29251,35893,35119,29251,35893,35119,29251,35893,35119,1,0,0,26,0,0,0,26
117946,46250,57410,57379,46250,57410,57379,46250,57410,57379,1,177,152,4,3,1,215,552
118347,7081,21004,0,7081,21004,0,13231,27154,0,1,0,0,107,0,0,0,107
118541,36067,46895,47961,36067,46895,47961,36067,46895,47961,1,8,2,0,0,0,18,28
118684,7408,18568,0,7408,18568,0,13108,24268,0,1,0,0,52,0,0,0,52
118693,43044,54204,53834,43044,54204,53834,43044,54204,53834,1,7,8,1,2,0,12,30
118718,6817,17752,0,6817,17752,0,11569,22504,0,1,0,0,168,0,0,0,168
118772,7273,18433,0,7273,18433,0,12385,23545,0,1,0,0,74,0,0,0,74
118888,46285,57325,56812,46285,57325,56812,46285,57325,56812,1,21,27,0,3,2,50,103
118912,7124,18284,0,7124,18284,0,11564,22724,0,1,0,0,178,0,0,0,178
118930,8152,19177,0,8152,19177,0,13048,24073,0,1,0,0,150,0,0,0,150
118976,7208,18224,0,7208,18224,0,12104,23120,0,1,0,0,219,0,0,0,219
119067,7200,20898,0,7200,20898,0,11496,25194,0,1,0,0,107,0,0,0,107
119137,7373,18533,0,7373,18533,0,13035,24195,0,1,0,0,159,0,0,0,159
119164,5900,17168,0,5900,17168,0,11976,23244,0,1,0,0,404,0,0,0,404
119173,40570,51876,51100,40570,51876,51100,40570,51876,51100,1,35,37,26,0,0,19,117
119216,7371,18531,0,7371,18531,0,12921,24081,0,1,0,0,118,0,0,0,118
119270,29646,40572,0,29646,40572,0,29646,40572,0,1,0,0,104,0,0,0,104
119331,7127,18287,0,7127,18287,0,11927,23087,0,1,0,0,97,0,0,0,97
119359,21719,33068,0,21719,33068,0,21719,33068,0,1,0,0,0,0,8,0,8
119368,18230,29282,0,18230,29282,0,18230,29282,0,1,0,0,9,0,0,0,9
119508,21912,33279,0,21912,33279,0,21912,33279,0,1,0,0,0,0,17,0,17
119544,13638,27430,0,13638,27430,0,13638,27430,0,1,0,0,13,0,0,0,13
119605,17416,27336,0,17416,27336,0,17416,27336,0,1,94,77,15,0,6,77,269
119775,31586,45149,0,31586,45149,0,31586,45149,0,1,7,2,0,2,0,12,23
120166,11500,20300,0,11500,20300,0,11500,20300,0,1,0,0,0,0,15,0,15
120184,37256,49462,49038,37256,49462,49038,37256,49462,49038,1,7,16,3,0,1,35,62
120254,0,0,63363,0,0,63363,0,0,63363,1,35,28,0,0,37,76,176
120290,7658,20402,0,7658,20402,0,12890,25634,0,1,0,0,114,0,0,0,114
120342,8021,21208,0,8021,21208,0,13157,26344,0,1,0,0,243,0,0,0,243
120403,44530,55430,55430,44530,55430,55430,44530,55430,55430,1,23,12,0,0,0,21,56
120421,7373,18533,0,7373,18533,0,13035,24195,0,1,0,0,87,0,0,0,87
120537,32035,43195,39537,32035,43195,39537,32035,43195,39537,1,25,9,0,0,0,8,42
120661,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,33
120838,27940,32140,37540,27940,32140,37540,27940,32140,37540,1,0,0,0,0,0,6,6
120865,33465,44625,39852,33465,44625,39852,33465,44625,39852,1,23,28,6,0,1,33,91
120883,45795,56955,57033,45795,56955,57033,45795,56955,57033,1,143,101,10,16,9,142,421
120953,10486,17236,0,10486,17236,0,10486,17236,0,1,0,0,27,0,0,0,27
120971,5555,16966,0,5555,16966,0,9699,21110,0,1,0,0,266,0,0,0,266
121044,7892,17710,0,7892,17710,0,12908,22726,0,1,0,0,373,0,0,0,373
121150,48302,61192,61192,48302,61192,61192,48302,61192,61192,1,85,92,25,12,30,139,383
121257,48018,63018,61416,48018,63018,61416,48018,63018,61416,1,17,30,2,1,0,33,83
